project_name,project_code,project_type,state,districts_covered,cities_affected,project_phase,budget_crores,total_length_km,notification_date,expected_completion_date,implementing_agency,alignment_geojson
Mumbai Trans Harbour Link (Atal Setu),MTHL-01,highway,Maharashtra,"['Mumbai City', 'Raigad']","['Mumbai', 'Navi Mumbai']",completed,17843,21.8,2017-12-01,2024-01-12,MMRDA,"{'type': 'Point', 'coordinates': [72.9346, 18.976]}"
Navi Mumbai International Airport,NMIA-01,airport,Maharashtra,['Raigad'],"['Navi Mumbai', 'Panvel']",construction_started,16700,0.0,2018-01-01,2024-12-31,NMIAL / Adani Airports,"{'type': 'Point', 'coordinates': [73.0617, 18.9919]}"
Chennai Metro Phase 2,CMRL-PH2,metro,Tamil Nadu,"['Chennai', 'Kancheepuram', 'Tiruvallur']",['Chennai'],ongoing,61843,118.9,2021-02-01,2026-12-31,CMRL,"{'type': 'Point', 'coordinates': [80.2707, 13.0827]}"
Delhi-Mumbai Expressway,DME-01,highway,Rajasthan,"['Gurugram', 'Alwar', 'Dausa', 'Sawai Madhopur', 'Kota', 'Ratlam', 'Vadodara', 'Surat']","['Gurugram', 'Jaipur', 'Kota', 'Vadodara', 'Mumbai']",ongoing,100000,1350.0,2019-03-09,2025-01-01,NHAI,"{'type': 'Point', 'coordinates': [75.75, 26.9157]}"
Noida International Airport (Jewar),NIA-JEWAR,airport,Uttar Pradesh,['Gautam Buddha Nagar'],"['Jewar', 'Greater Noida']",construction_started,29560,0.0,2019-11-29,2024-09-30,YZIAPL,"{'type': 'Point', 'coordinates': [77.61, 28.17]}"
Mumbai-Ahmedabad High Speed Rail,MAHSR-BULLET,railway,Gujarat,"['Ahmedabad', 'Kheda', 'Vadodara', 'Bharuch', 'Surat', 'Navsari', 'Valsad', 'Palghar', 'Thane', 'Mumbai']","['Ahmedabad', 'Surat', 'Mumbai']",ongoing,110000,508.0,2017-09-14,2027-08-15,NHSRCL,"{'type': 'Point', 'coordinates': [72.8311, 21.1702]}"
Khavda Renewable Energy Park,KHAVDA-RE,power_plant,Gujarat,['Kutch'],['Khavda'],ongoing,150000,0.0,2020-01-01,2026-01-01,Multiple,"{'type': 'Point', 'coordinates': [69.35, 24.1167]}"
Chenab Bridge,USBRL-CHENAB,railway,Jammu and Kashmir,['Reasi'],"['Kauri', 'Bakkal']",completed,1486,1.3,2002-01-01,2024-02-20,Konkan Railway,"{'type': 'Point', 'coordinates': [74.8805, 33.1525]}"
Bangalore Suburban Rail Project,BSRP-KA,railway,Karnataka,['Bangalore Urban'],['Bangalore'],approved,15767,148.0,2020-10-21,2026-10-01,K-RIDE,"{'type': 'Point', 'coordinates': [77.5946, 12.9716]}"
"Greenfield International Airport, Parandur",GIA-PARANDUR,airport,Tamil Nadu,['Kancheepuram'],"['Parandur', 'Chennai']",land_notification,20000,0.0,2022-08-01,2029-01-01,TIDCO,"{'type': 'Point', 'coordinates': [79.78, 12.93]}"
